[30-12-2019 15:22:31] - SN:519364109511, MODELO:TG1692A
[30-12-2019 15:22:31] - SN:519364109612, MODELO:TG1692A
[30-12-2019 15:22:31] - SN:519364109713, MODELO:TG1692A
[30-12-2019 15:22:31] - SN:519364109814, MODELO:TG1692A
[30-12-2019 15:22:31] - SN:519364109915, MODELO:TG1692A
[30-12-2019 15:22:31] - SN:519364110000, MODELO:TG1692A
[30-12-2019 15:22:31] - SN:519364110101, MODELO:TG1692A
[30-12-2019 15:22:31] - SN:519364110202, MODELO:TG1692A
[30-12-2019 15:24:19] - SN:519364110303, MODELO:TG1692A
[30-12-2019 15:24:19] - SN:519364110404, MODELO:TG1692A
[30-12-2019 15:24:19] - SN:519364110505, MODELO:TG1692A
[30-12-2019 15:24:19] - SN:519364110606, MODELO:TG1692A
[30-12-2019 15:24:19] - SN:519364110707, MODELO:TG1692A
[30-12-2019 15:24:19] - SN:519364110808, MODELO:TG1692A
[30-12-2019 15:24:19] - SN:519364110909, MODELO:TG1692A
[30-12-2019 15:24:20] - SN:519364111010, MODELO:TG1692A
[30-12-2019 15:24:20] - SN:519364111111, MODELO:TG1692A
[30-12-2019 15:24:20] - SN:519364111212, MODELO:TG1692A
[30-12-2019 15:24:20] - SN:519364111313, MODELO:TG1692A
[30-12-2019 15:24:20] - SN:519364111414, MODELO:TG1692A
[30-12-2019 15:24:20] - SN:519364111515, MODELO:TG1692A
[30-12-2019 15:24:20] - SN:519364111616, MODELO:TG1692A
[30-12-2019 15:24:20] - SN:519364111717, MODELO:TG1692A
[30-12-2019 15:24:20] - SN:519364111818, MODELO:TG1692A
[30-12-2019 15:24:21] - SN:519364111919, MODELO:TG1692A
[30-12-2019 15:24:21] - SN:519364112020, MODELO:TG1692A
[30-12-2019 15:24:21] - SN:519364112121, MODELO:TG1692A
[30-12-2019 15:24:21] - SN:519364112222, MODELO:TG1692A
[30-12-2019 15:24:21] - SN:519364112323, MODELO:TG1692A
[30-12-2019 15:24:21] - SN:519364112424, MODELO:TG1692A
[30-12-2019 15:24:21] - SN:519364112525, MODELO:TG1692A
[30-12-2019 15:24:21] - SN:519364112626, MODELO:TG1692A
[30-12-2019 15:24:21] - SN:519364112727, MODELO:TG1692A
[30-12-2019 15:24:21] - SN:519364112828, MODELO:TG1692A
[30-12-2019 15:24:22] - SN:519364112929, MODELO:TG1692A
[30-12-2019 15:24:22] - SN:519364113030, MODELO:TG1692A
[30-12-2019 15:24:22] - SN:519364113131, MODELO:TG1692A
[30-12-2019 15:24:22] - SN:519364113232, MODELO:TG1692A
[30-12-2019 15:24:22] - SN:519364113333, MODELO:TG1692A
[30-12-2019 15:24:22] - SN:519364113434, MODELO:TG1692A
